task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Task1,0.5,0.0,0.0,3.0,100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,0.0,3.0,6.0,100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,0.0,6.0,9.0,100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,0.0,9.0,12.0,100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,100.0,100.0,103.0,200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,100.0,103.0,106.0,200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,100.0,106.0,109.0,200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,100.0,109.0,112.0,200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,200.0,200.0,203.0,300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,200.0,203.0,206.0,300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,200.0,206.0,209.0,300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,200.0,209.0,212.0,300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,300.0,300.0,303.0,400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,300.0,303.0,306.0,400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,300.0,306.0,309.0,400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,300.0,309.0,312.0,400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,400.0,400.0,403.0,500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,400.0,403.0,406.0,500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,400.0,406.0,409.0,500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,400.0,409.0,412.0,500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,500.0,500.0,503.0,600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,500.0,503.0,506.0,600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,500.0,506.0,509.0,600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,500.0,509.0,512.0,600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,600.0,600.0,603.0,700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,600.0,603.0,606.0,700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,600.0,606.0,609.0,700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,600.0,609.0,612.0,700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,700.0,700.0,703.0,800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,700.0,703.0,706.0,800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,700.0,706.0,709.0,800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,700.0,709.0,712.0,800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,800.0,800.0,803.0,900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,800.0,803.0,806.0,900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,800.0,806.0,809.0,900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,800.0,809.0,812.0,900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,900.0,900.0,903.0,1000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,900.0,903.0,906.0,1000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,900.0,906.0,909.0,1000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,900.0,909.0,912.0,1000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1000.0,1000.0,1003.0,1100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1000.0,1003.0,1006.0,1100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1000.0,1006.0,1009.0,1100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1000.0,1009.0,1012.0,1100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1100.0,1100.0,1103.0,1200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1100.0,1103.0,1106.0,1200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1100.0,1106.0,1109.0,1200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1100.0,1109.0,1112.0,1200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1200.0,1200.0,1203.0,1300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1200.0,1203.0,1206.0,1300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1200.0,1206.0,1209.0,1300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1200.0,1209.0,1212.0,1300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1300.0,1300.0,1303.0,1400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1300.0,1303.0,1306.0,1400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1300.0,1306.0,1309.0,1400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1300.0,1309.0,1312.0,1400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1400.0,1400.0,1403.0,1500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1400.0,1403.0,1406.0,1500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1400.0,1406.0,1409.0,1500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1400.0,1409.0,1412.0,1500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1500.0,1500.0,1503.0,1600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1500.0,1503.0,1506.0,1600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1500.0,1506.0,1509.0,1600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1500.0,1509.0,1512.0,1600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1600.0,1600.0,1603.0,1700.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1600.0,1603.0,1606.0,1700.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1600.0,1606.0,1609.0,1700.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1600.0,1609.0,1612.0,1700.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1700.0,1700.0,1703.0,1800.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1700.0,1703.0,1706.0,1800.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1700.0,1706.0,1709.0,1800.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1700.0,1709.0,1712.0,1800.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1800.0,1800.0,1803.0,1900.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1800.0,1803.0,1806.0,1900.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1800.0,1806.0,1809.0,1900.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1800.0,1809.0,1812.0,1900.0,12.0,9.0,0.0,0,1.0
Task1,0.5,1900.0,1900.0,1903.0,2000.0,3.0,0.0,0.0,0,1.0
Task2,0.5,1900.0,1903.0,1906.0,2000.0,6.0,3.0,0.0,0,1.0
Task3,0.5,1900.0,1906.0,1909.0,2000.0,9.0,6.0,0.0,0,1.0
Task4,0.5,1900.0,1909.0,1912.0,2000.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2000.0,2000.0,2003.0,2100.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2000.0,2003.0,2006.0,2100.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2000.0,2006.0,2009.0,2100.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2000.0,2009.0,2012.0,2100.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2100.0,2100.0,2103.0,2200.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2100.0,2103.0,2106.0,2200.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2100.0,2106.0,2109.0,2200.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2100.0,2109.0,2112.0,2200.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2200.0,2200.0,2203.0,2300.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2200.0,2203.0,2206.0,2300.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2200.0,2206.0,2209.0,2300.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2200.0,2209.0,2212.0,2300.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2300.0,2300.0,2303.0,2400.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2300.0,2303.0,2306.0,2400.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2300.0,2306.0,2309.0,2400.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2300.0,2309.0,2312.0,2400.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2400.0,2400.0,2403.0,2500.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2400.0,2403.0,2406.0,2500.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2400.0,2406.0,2409.0,2500.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2400.0,2409.0,2412.0,2500.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2500.0,2500.0,2503.0,2600.0,3.0,0.0,0.0,0,1.0
Task2,0.5,2500.0,2503.0,2506.0,2600.0,6.0,3.0,0.0,0,1.0
Task3,0.5,2500.0,2506.0,2509.0,2600.0,9.0,6.0,0.0,0,1.0
Task4,0.5,2500.0,2509.0,2512.0,2600.0,12.0,9.0,0.0,0,1.0
Task1,0.5,2600.0,2600.0,2603.0,2700.0,3.0,0.0,0.0,0,1.0
