task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
Ultra,0.5,0.0,0.0,2.0,200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,0.0,2.0,3.0,200.0,3.0,2.0,0.0,0,1.0
Button,0.5,0.0,3.0,4.0,200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,0.0,4.0,8.0,2000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,200.0,200.0,202.0,400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,400.0,400.0,402.0,600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,500.0,500.0,501.0,700.0,1.0,0.0,0.0,0,1.0
Button,0.5,500.0,501.0,502.0,700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,600.0,600.0,602.0,800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,800.0,800.0,802.0,1000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,1000.0,1000.0,1002.0,1200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,1000.0,1002.0,1003.0,1200.0,3.0,2.0,0.0,0,1.0
Button,0.5,1000.0,1003.0,1004.0,1200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,1200.0,1200.0,1202.0,1400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,1400.0,1400.0,1402.0,1600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,1500.0,1500.0,1501.0,1700.0,1.0,0.0,0.0,0,1.0
Button,0.5,1500.0,1501.0,1502.0,1700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,1600.0,1600.0,1602.0,1800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,1800.0,1800.0,1802.0,2000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,2000.0,2000.0,2002.0,2200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,2000.0,2002.0,2003.0,2200.0,3.0,2.0,0.0,0,1.0
Button,0.5,2000.0,2003.0,2004.0,2200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,2000.0,2004.0,2008.0,4000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,2200.0,2200.0,2202.0,2400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,2400.0,2400.0,2402.0,2600.0,2.0,0.0,0.0,0,1.0
