alpha,task,avg_latency_ms,avg_tardiness_ms,miss_rate,avg_utility,jobs
0.5,Button,3.0,0.0,0.0,1.0,120
0.5,PIR,2.0,0.0,0.0,1.0,120
0.5,Sound,8.0,0.0,0.0,1.0,30
0.5,Ultra,2.0,0.0,0.0,1.0,300
0.75,Button,3.5,0.0,0.0,1.0,120
0.75,PIR,2.5,0.0,0.0,1.0,120
0.75,Sound,11.0,0.0,0.0,1.0,30
0.75,Ultra,3.0,0.0,0.0,1.0,300
1.0,Button,3.5,0.0,0.0,1.0,120
1.0,PIR,2.5,0.0,0.0,1.0,120
1.0,Sound,13.0,0.0,0.0,1.0,30
1.0,Ultra,3.0,0.0,0.0,1.0,300
1.25,Button,6.0,0.0,0.0,1.0,120
1.25,PIR,4.0,0.0,0.0,1.0,120
1.25,Sound,18.0,0.0,0.0,1.0,30
1.25,Ultra,4.0,0.0,0.0,1.0,300
1.5,Button,6.5,0.0,0.0,1.0,120
1.5,PIR,4.5,0.0,0.0,1.0,120
1.5,Sound,21.0,0.0,0.0,1.0,30
1.5,Ultra,5.0,0.0,0.0,1.0,300
