scheduler,alpha,task,avg_latency_ms,avg_tardiness_ms,miss_ratio,n_jobs
EDF,10.0,Task1,50.0,0.0,0.0,300
EDF,10.0,Task2,100.0,0.0,0.0,300
EDF,10.0,Task3,150.0,0.0,0.0,300
EDF,10.0,Task4,200.0,0.0,0.0,300
EDF,20.0,Task1,15000.0,14800.666666666666,0.9933333333333333,150
EDF,20.0,Task2,15100.0,14900.0,0.9933333333333333,150
EDF,20.0,Task3,15200.0,15000.0,1.0,150
EDF,20.0,Task4,15300.0,15100.0,1.0,150
EDF,30.0,Task1,19950.0,19750.5,0.99,100
EDF,30.0,Task2,20100.0,19900.0,1.0,100
EDF,30.0,Task3,20250.0,20050.0,1.0,100
EDF,30.0,Task4,20400.0,20200.0,1.0,100
EDF,40.0,Task1,22400.0,22200.0,0.9866666666666667,75
EDF,40.0,Task2,22600.0,22400.0,1.0,75
EDF,40.0,Task3,22800.0,22600.0,1.0,75
EDF,40.0,Task4,23000.0,22800.0,1.0,75
EDF,50.0,Task1,23850.0,23650.0,1.0,60
EDF,50.0,Task2,24100.0,23900.0,1.0,60
EDF,50.0,Task3,24350.0,24150.0,1.0,60
EDF,50.0,Task4,24600.0,24400.0,1.0,60
FIFO,10.0,Task1,50.0,0.0,0.0,300
FIFO,10.0,Task2,100.0,0.0,0.0,300
FIFO,10.0,Task3,150.0,0.0,0.0,300
FIFO,10.0,Task4,200.0,0.0,0.0,300
FIFO,20.0,Task1,15000.0,14800.666666666666,0.9933333333333333,150
FIFO,20.0,Task2,15100.0,14900.0,0.9933333333333333,150
FIFO,20.0,Task3,15200.0,15000.0,1.0,150
FIFO,20.0,Task4,15300.0,15100.0,1.0,150
FIFO,30.0,Task1,19950.0,19750.5,0.99,100
FIFO,30.0,Task2,20100.0,19900.0,1.0,100
FIFO,30.0,Task3,20250.0,20050.0,1.0,100
FIFO,30.0,Task4,20400.0,20200.0,1.0,100
FIFO,40.0,Task1,22400.0,22200.0,0.9866666666666667,75
FIFO,40.0,Task2,22600.0,22400.0,1.0,75
FIFO,40.0,Task3,22800.0,22600.0,1.0,75
FIFO,40.0,Task4,23000.0,22800.0,1.0,75
FIFO,50.0,Task1,23850.0,23650.0,1.0,60
FIFO,50.0,Task2,24100.0,23900.0,1.0,60
FIFO,50.0,Task3,24350.0,24150.0,1.0,60
FIFO,50.0,Task4,24600.0,24400.0,1.0,60
RM,10.0,Task1,50.0,0.0,0.0,300
RM,10.0,Task2,100.0,0.0,0.0,300
RM,10.0,Task3,150.0,0.0,0.0,300
RM,10.0,Task4,200.0,0.0,0.0,300
RM,20.0,Task1,15000.0,14800.666666666666,0.9933333333333333,150
RM,20.0,Task2,15100.0,14900.0,0.9933333333333333,150
RM,20.0,Task3,15200.0,15000.0,1.0,150
RM,20.0,Task4,15300.0,15100.0,1.0,150
RM,30.0,Task1,19950.0,19750.5,0.99,100
RM,30.0,Task2,20100.0,19900.0,1.0,100
RM,30.0,Task3,20250.0,20050.0,1.0,100
RM,30.0,Task4,20400.0,20200.0,1.0,100
RM,40.0,Task1,22400.0,22200.0,0.9866666666666667,75
RM,40.0,Task2,22600.0,22400.0,1.0,75
RM,40.0,Task3,22800.0,22600.0,1.0,75
RM,40.0,Task4,23000.0,22800.0,1.0,75
RM,50.0,Task1,23850.0,23650.0,1.0,60
RM,50.0,Task2,24100.0,23900.0,1.0,60
RM,50.0,Task3,24350.0,24150.0,1.0,60
RM,50.0,Task4,24600.0,24400.0,1.0,60
