scheduler,task,alpha,release,finish,deadline,response,tardiness,miss
EDF,PIR,0.5,0.0,0.5,100.0,0.5,0.0,0
EDF,Button,0.5,0.0,1.0,150.0,1.0,0.0,0
EDF,Ultra,0.5,0.0,2.5,200.0,2.5,0.0,0
EDF,Sound,0.5,0.0,6.5,2000.0,6.5,0.0,0
EDF,Ultra,0.5,200.0,202.0,400.0,2.0,0.0,0
EDF,Ultra,0.5,400.0,401.5,600.0,1.5,0.0,0
EDF,PIR,0.5,500.0,501.0,600.0,1.0,0.0,0
EDF,Button,0.5,500.0,501.5,650.0,1.5,0.0,0
EDF,Ultra,0.5,600.0,602.0,800.0,2.0,0.0,0
EDF,Ultra,0.5,800.0,801.5,1000.0,1.5,0.0,0
EDF,PIR,0.5,1000.0,1001.0,1100.0,1.0,0.0,0
EDF,Button,0.5,1000.0,1001.5,1150.0,1.5,0.0,0
EDF,Ultra,0.5,1000.0,1003.0,1200.0,3.0,0.0,0
EDF,Ultra,0.5,1200.0,1201.5,1400.0,1.5,0.0,0
EDF,Ultra,0.5,1400.0,1402.0,1600.0,2.0,0.0,0
EDF,PIR,0.5,1500.0,1500.5,1600.0,0.5,0.0,0
EDF,Button,0.5,1500.0,1501.0,1650.0,1.0,0.0,0
EDF,Ultra,0.5,1600.0,1601.5,1800.0,1.5,0.0,0
EDF,Ultra,0.5,1800.0,1802.0,2000.0,2.0,0.0,0
EDF,PIR,0.5,2000.0,2000.5,2100.0,0.5,0.0,0
EDF,Button,0.5,2000.0,2001.0,2150.0,1.0,0.0,0
EDF,Ultra,0.5,2000.0,2002.5,2200.0,2.5,0.0,0
EDF,Sound,0.5,2000.0,2006.5,4000.0,6.5,0.0,0
EDF,Ultra,0.5,2200.0,2202.0,2400.0,2.0,0.0,0
EDF,Ultra,0.5,2400.0,2401.5,2600.0,1.5,0.0,0
EDF,PIR,0.5,2500.0,2501.0,2600.0,1.0,0.0,0
EDF,Button,0.5,2500.0,2501.5,2650.0,1.5,0.0,0
EDF,Ultra,0.5,2600.0,2602.0,2800.0,2.0,0.0,0
EDF,Ultra,0.5,2800.0,2801.5,3000.0,1.5,0.0,0
EDF,PIR,0.5,3000.0,3001.0,3100.0,1.0,0.0,0
EDF,Button,0.5,3000.0,3001.5,3150.0,1.5,0.0,0
EDF,Ultra,0.5,3000.0,3003.0,3200.0,3.0,0.0,0
EDF,Ultra,0.5,3200.0,3201.5,3400.0,1.5,0.0,0
EDF,Ultra,0.5,3400.0,3402.0,3600.0,2.0,0.0,0
EDF,PIR,0.5,3500.0,3500.5,3600.0,0.5,0.0,0
EDF,Button,0.5,3500.0,3501.0,3650.0,1.0,0.0,0
EDF,Ultra,0.5,3600.0,3601.5,3800.0,1.5,0.0,0
EDF,Ultra,0.5,3800.0,3802.0,4000.0,2.0,0.0,0
EDF,PIR,0.5,4000.0,4000.5,4100.0,0.5,0.0,0
EDF,Button,0.5,4000.0,4001.0,4150.0,1.0,0.0,0
EDF,Ultra,0.5,4000.0,4002.5,4200.0,2.5,0.0,0
EDF,Sound,0.5,4000.0,4006.5,6000.0,6.5,0.0,0
EDF,Ultra,0.5,4200.0,4202.0,4400.0,2.0,0.0,0
EDF,Ultra,0.5,4400.0,4401.5,4600.0,1.5,0.0,0
EDF,PIR,0.5,4500.0,4501.0,4600.0,1.0,0.0,0
EDF,Button,0.5,4500.0,4501.5,4650.0,1.5,0.0,0
EDF,Ultra,0.5,4600.0,4602.0,4800.0,2.0,0.0,0
EDF,Ultra,0.5,4800.0,4801.5,5000.0,1.5,0.0,0
EDF,PIR,0.5,5000.0,5001.0,5100.0,1.0,0.0,0
EDF,Button,0.5,5000.0,5001.5,5150.0,1.5,0.0,0
EDF,Ultra,0.5,5000.0,5003.0,5200.0,3.0,0.0,0
EDF,Ultra,0.5,5200.0,5201.5,5400.0,1.5,0.0,0
EDF,Ultra,0.5,5400.0,5402.0,5600.0,2.0,0.0,0
EDF,PIR,0.5,5500.0,5500.5,5600.0,0.5,0.0,0
EDF,Button,0.5,5500.0,5501.0,5650.0,1.0,0.0,0
EDF,Ultra,0.5,5600.0,5601.5,5800.0,1.5,0.0,0
EDF,Ultra,0.5,5800.0,5802.0,6000.0,2.0,0.0,0
EDF,PIR,0.5,6000.0,6000.5,6100.0,0.5,0.0,0
EDF,Button,0.5,6000.0,6001.0,6150.0,1.0,0.0,0
EDF,Ultra,0.5,6000.0,6002.5,6200.0,2.5,0.0,0
EDF,Sound,0.5,6000.0,6006.5,8000.0,6.5,0.0,0
EDF,Ultra,0.5,6200.0,6202.0,6400.0,2.0,0.0,0
EDF,Ultra,0.5,6400.0,6401.5,6600.0,1.5,0.0,0
EDF,PIR,0.5,6500.0,6501.0,6600.0,1.0,0.0,0
EDF,Button,0.5,6500.0,6501.5,6650.0,1.5,0.0,0
EDF,Ultra,0.5,6600.0,6602.0,6800.0,2.0,0.0,0
EDF,Ultra,0.5,6800.0,6801.5,7000.0,1.5,0.0,0
EDF,PIR,0.5,7000.0,7001.0,7100.0,1.0,0.0,0
EDF,Button,0.5,7000.0,7001.5,7150.0,1.5,0.0,0
EDF,Ultra,0.5,7000.0,7003.0,7200.0,3.0,0.0,0
EDF,Ultra,0.5,7200.0,7201.5,7400.0,1.5,0.0,0
