scheduler,alpha,avg_latency_ms,avg_tardiness_ms,miss_ratio,n_jobs
EDF,0.5,1.787215411558669,0.0,0.0,571
EDF,0.75,2.6939579684763575,0.0,0.0,571
EDF,1.0,3.1015761821366024,0.0,0.0,571
EDF,1.25,4.25,0.0,0.0,570
EDF,1.5,4.894736842105263,0.0,0.0,570
FIFO,0.5,2.2885964912280703,0.0,0.0,570
FIFO,0.75,3.4460526315789473,0.0,0.0,570
FIFO,1.0,4.103508771929825,0.0,0.0,570
FIFO,1.25,5.49780701754386,0.0,0.0,570
FIFO,1.5,6.3921052631578945,0.0,0.0,570
RM,0.5,2.0,0.0,0.0,570
RM,0.75,3.013157894736842,0.0,0.0,570
RM,1.0,3.526315789473684,0.0,0.0,570
RM,1.25,4.776315789473684,0.0,0.0,570
RM,1.5,5.526315789473684,0.0,0.0,570
