scheduler,alpha,task,avg_latency_ms,avg_tardiness_ms,miss_ratio,n_jobs
EDF,0.5,Button,1.25,0.0,0.0,120
EDF,0.5,PIR,0.7479338842975206,0.0,0.0,121
EDF,0.5,Sound,6.5,0.0,0.0,30
EDF,0.5,Ultra,1.95,0.0,0.0,300
EDF,0.75,Button,1.875,0.0,0.0,120
EDF,0.75,PIR,1.121900826446281,0.0,0.0,121
EDF,0.75,Sound,10.0,0.0,0.0,30
EDF,0.75,Ultra,2.925,0.0,0.0,300
EDF,1.0,Button,2.0,0.0,0.0,120
EDF,1.0,PIR,1.0,0.0,0.0,121
EDF,1.0,Sound,13.0,0.0,0.0,30
EDF,1.0,Ultra,3.4,0.0,0.0,300
EDF,1.25,Button,2.875,0.0,0.0,120
EDF,1.25,PIR,1.625,0.0,0.0,120
EDF,1.25,Sound,16.5,0.0,0.0,30
EDF,1.25,Ultra,4.625,0.0,0.0,300
EDF,1.5,Button,3.25,0.0,0.0,120
EDF,1.5,PIR,1.75,0.0,0.0,120
EDF,1.5,Sound,19.5,0.0,0.0,30
EDF,1.5,Ultra,5.35,0.0,0.0,300
FIFO,0.5,Button,2.2625,0.0,0.0,120
FIFO,0.5,PIR,1.7625,0.0,0.0,120
FIFO,0.5,Sound,4.05,0.0,0.0,30
FIFO,0.5,Ultra,2.3333333333333335,0.0,0.0,300
FIFO,0.75,Button,3.39375,0.0,0.0,120
FIFO,0.75,PIR,2.64375,0.0,0.0,120
FIFO,0.75,Sound,6.325,0.0,0.0,30
FIFO,0.75,Ultra,3.5,0.0,0.0,300
FIFO,1.0,Button,4.025,0.0,0.0,120
FIFO,1.0,PIR,3.025,0.0,0.0,120
FIFO,1.0,Sound,8.1,0.0,0.0,30
FIFO,1.0,Ultra,4.166666666666667,0.0,0.0,300
FIFO,1.25,Button,5.40625,0.0,0.0,120
FIFO,1.25,PIR,4.15625,0.0,0.0,120
FIFO,1.25,Sound,10.375,0.0,0.0,30
FIFO,1.25,Ultra,5.583333333333333,0.0,0.0,300
FIFO,1.5,Button,6.2875,0.0,0.0,120
FIFO,1.5,PIR,4.7875,0.0,0.0,120
FIFO,1.5,Sound,12.15,0.0,0.0,30
FIFO,1.5,Ultra,6.5,0.0,0.0,300
RM,0.5,Button,2.0,0.0,0.0,120
RM,0.5,PIR,1.5,0.0,0.0,120
RM,0.5,Sound,6.5,0.0,0.0,30
RM,0.5,Ultra,1.75,0.0,0.0,300
RM,0.75,Button,3.0,0.0,0.0,120
RM,0.75,PIR,2.25,0.0,0.0,120
RM,0.75,Sound,10.0,0.0,0.0,30
RM,0.75,Ultra,2.625,0.0,0.0,300
RM,1.0,Button,3.5,0.0,0.0,120
RM,1.0,PIR,2.5,0.0,0.0,120
RM,1.0,Sound,13.0,0.0,0.0,30
RM,1.0,Ultra,3.0,0.0,0.0,300
RM,1.25,Button,4.75,0.0,0.0,120
RM,1.25,PIR,3.5,0.0,0.0,120
RM,1.25,Sound,16.5,0.0,0.0,30
RM,1.25,Ultra,4.125,0.0,0.0,300
RM,1.5,Button,5.5,0.0,0.0,120
RM,1.5,PIR,4.0,0.0,0.0,120
RM,1.5,Sound,19.5,0.0,0.0,30
RM,1.5,Ultra,4.75,0.0,0.0,300
