Job,Task,Arrival_Time,Start_Time,Finish_Time,Deadline,Response_Time,Missed_Deadline
Ultra_1,Ultra,0,0,32,100,32,False
PIR_1,PIR,0,32,57,80,57,False
Sound_1,Sound,0,57,237,500,237,False
Button_1,Button,0,237,272,120,272,True
Ultra_2,Ultra,100,272,304,200,204,True
Ultra_3,Ultra,200,304,336,300,136,True
PIR_2,PIR,200,336,361,280,161,True
Ultra_4,Ultra,300,361,393,400,93,False
Button_2,Button,300,393,428,420,128,True
Ultra_5,Ultra,400,428,460,500,60,False
PIR_3,PIR,400,460,485,480,85,True
Ultra_6,Ultra,500,500,532,600,32,False
Sound_2,Sound,500,532,712,1000,212,False
Ultra_7,Ultra,600,712,744,700,144,True
PIR_4,PIR,600,744,769,680,169,True
Button_3,Button,600,769,804,720,204,True
Ultra_8,Ultra,700,804,836,800,136,True
Ultra_9,Ultra,800,836,868,900,68,False
PIR_5,PIR,800,868,893,880,93,True
Ultra_10,Ultra,900,900,932,1000,32,False
Button_4,Button,900,932,967,1020,67,False
Ultra_11,Ultra,1000,1000,1032,1100,32,False
PIR_6,PIR,1000,1032,1057,1080,57,False
Sound_3,Sound,1000,1057,1237,1500,237,False
Ultra_12,Ultra,1100,1237,1269,1200,169,True
Ultra_13,Ultra,1200,1269,1301,1300,101,True
PIR_7,PIR,1200,1301,1326,1280,126,True
Button_5,Button,1200,1326,1361,1320,161,True
Ultra_14,Ultra,1300,1361,1393,1400,93,False
Ultra_15,Ultra,1400,1400,1432,1500,32,False
PIR_8,PIR,1400,1432,1457,1480,57,False
Ultra_16,Ultra,1500,1500,1532,1600,32,False
Sound_4,Sound,1500,1532,1712,2000,212,False
Button_6,Button,1500,1712,1747,1620,247,True
Ultra_17,Ultra,1600,1747,1779,1700,179,True
PIR_9,PIR,1600,1779,1804,1680,204,True
Ultra_18,Ultra,1700,1804,1836,1800,136,True
Ultra_19,Ultra,1800,1836,1868,1900,68,False
PIR_10,PIR,1800,1868,1893,1880,93,True
Button_7,Button,1800,1893,1928,1920,128,True
Ultra_20,Ultra,1900,1928,1960,2000,60,False
Ultra_21,Ultra,2000,2000,2032,2100,32,False
PIR_11,PIR,2000,2032,2057,2080,57,False
Sound_5,Sound,2000,2057,2237,2500,237,False
Ultra_22,Ultra,2100,2237,2269,2200,169,True
Button_8,Button,2100,2269,2304,2220,204,True
Ultra_23,Ultra,2200,2304,2336,2300,136,True
PIR_12,PIR,2200,2336,2361,2280,161,True
Ultra_24,Ultra,2300,2361,2393,2400,93,False
Ultra_25,Ultra,2400,2400,2432,2500,32,False
PIR_13,PIR,2400,2432,2457,2480,57,False
Button_9,Button,2400,2457,2492,2520,92,False
Ultra_26,Ultra,2500,2500,2532,2600,32,False
Sound_6,Sound,2500,2532,2712,3000,212,False
Ultra_27,Ultra,2600,2712,2744,2700,144,True
PIR_14,PIR,2600,2744,2769,2680,169,True
Ultra_28,Ultra,2700,2769,2801,2800,101,True
Button_10,Button,2700,2801,2836,2820,136,True
Ultra_29,Ultra,2800,2836,2868,2900,68,False
PIR_15,PIR,2800,2868,2893,2880,93,True
Ultra_30,Ultra,2900,2900,2932,3000,32,False
Ultra_31,Ultra,3000,3000,3032,3100,32,False
PIR_16,PIR,3000,3032,3057,3080,57,False
Sound_7,Sound,3000,3057,3237,3500,237,False
Button_11,Button,3000,3237,3272,3120,272,True
Ultra_32,Ultra,3100,3272,3304,3200,204,True
Ultra_33,Ultra,3200,3304,3336,3300,136,True
PIR_17,PIR,3200,3336,3361,3280,161,True
Ultra_34,Ultra,3300,3361,3393,3400,93,False
Button_12,Button,3300,3393,3428,3420,128,True
Ultra_35,Ultra,3400,3428,3460,3500,60,False
PIR_18,PIR,3400,3460,3485,3480,85,True
Ultra_36,Ultra,3500,3500,3532,3600,32,False
Sound_8,Sound,3500,3532,3712,4000,212,False
Ultra_37,Ultra,3600,3712,3744,3700,144,True
PIR_19,PIR,3600,3744,3769,3680,169,True
Button_13,Button,3600,3769,3804,3720,204,True
Ultra_38,Ultra,3700,3804,3836,3800,136,True
Ultra_39,Ultra,3800,3836,3868,3900,68,False
PIR_20,PIR,3800,3868,3893,3880,93,True
Ultra_40,Ultra,3900,3900,3932,4000,32,False
Button_14,Button,3900,3932,3967,4020,67,False
Ultra_41,Ultra,4000,4000,4032,4100,32,False
PIR_21,PIR,4000,4032,4057,4080,57,False
Sound_9,Sound,4000,4057,4237,4500,237,False
Ultra_42,Ultra,4100,4237,4269,4200,169,True
Ultra_43,Ultra,4200,4269,4301,4300,101,True
PIR_22,PIR,4200,4301,4326,4280,126,True
Button_15,Button,4200,4326,4361,4320,161,True
Ultra_44,Ultra,4300,4361,4393,4400,93,False
Ultra_45,Ultra,4400,4400,4432,4500,32,False
PIR_23,PIR,4400,4432,4457,4480,57,False
Ultra_46,Ultra,4500,4500,4532,4600,32,False
Sound_10,Sound,4500,4532,4712,5000,212,False
Button_16,Button,4500,4712,4747,4620,247,True
Ultra_47,Ultra,4600,4747,4779,4700,179,True
PIR_24,PIR,4600,4779,4804,4680,204,True
Ultra_48,Ultra,4700,4804,4836,4800,136,True
Ultra_49,Ultra,4800,4836,4868,4900,68,False
PIR_25,PIR,4800,4868,4893,4880,93,True
Button_17,Button,4800,4893,4928,4920,128,True
Ultra_50,Ultra,4900,4928,4960,5000,60,False
Ultra_51,Ultra,5000,5000,5032,5100,32,False
PIR_26,PIR,5000,5032,5057,5080,57,False
Sound_11,Sound,5000,5057,5237,5500,237,False
Ultra_52,Ultra,5100,5237,5269,5200,169,True
Button_18,Button,5100,5269,5304,5220,204,True
Ultra_53,Ultra,5200,5304,5336,5300,136,True
PIR_27,PIR,5200,5336,5361,5280,161,True
Ultra_54,Ultra,5300,5361,5393,5400,93,False
Ultra_55,Ultra,5400,5400,5432,5500,32,False
PIR_28,PIR,5400,5432,5457,5480,57,False
Button_19,Button,5400,5457,5492,5520,92,False
Ultra_56,Ultra,5500,5500,5532,5600,32,False
Sound_12,Sound,5500,5532,5712,6000,212,False
Ultra_57,Ultra,5600,5712,5744,5700,144,True
PIR_29,PIR,5600,5744,5769,5680,169,True
Ultra_58,Ultra,5700,5769,5801,5800,101,True
Button_20,Button,5700,5801,5836,5820,136,True
Ultra_59,Ultra,5800,5836,5868,5900,68,False
PIR_30,PIR,5800,5868,5893,5880,93,True
Ultra_60,Ultra,5900,5900,5932,6000,32,False
Ultra_61,Ultra,6000,6000,6032,6100,32,False
PIR_31,PIR,6000,6032,6057,6080,57,False
Sound_13,Sound,6000,6057,6237,6500,237,False
Button_21,Button,6000,6237,6272,6120,272,True
Ultra_62,Ultra,6100,6272,6304,6200,204,True
Ultra_63,Ultra,6200,6304,6336,6300,136,True
PIR_32,PIR,6200,6336,6361,6280,161,True
Ultra_64,Ultra,6300,6361,6393,6400,93,False
Button_22,Button,6300,6393,6428,6420,128,True
Ultra_65,Ultra,6400,6428,6460,6500,60,False
PIR_33,PIR,6400,6460,6485,6480,85,True
Ultra_66,Ultra,6500,6500,6532,6600,32,False
Sound_14,Sound,6500,6532,6712,7000,212,False
Ultra_67,Ultra,6600,6712,6744,6700,144,True
PIR_34,PIR,6600,6744,6769,6680,169,True
Button_23,Button,6600,6769,6804,6720,204,True
Ultra_68,Ultra,6700,6804,6836,6800,136,True
Ultra_69,Ultra,6800,6836,6868,6900,68,False
PIR_35,PIR,6800,6868,6893,6880,93,True
Ultra_70,Ultra,6900,6900,6932,7000,32,False
Button_24,Button,6900,6932,6967,7020,67,False
Ultra_71,Ultra,7000,7000,7032,7100,32,False
PIR_36,PIR,7000,7032,7057,7080,57,False
Sound_15,Sound,7000,7057,7237,7500,237,False
Ultra_72,Ultra,7100,7237,7269,7200,169,True
Ultra_73,Ultra,7200,7269,7301,7300,101,True
PIR_37,PIR,7200,7301,7326,7280,126,True
Button_25,Button,7200,7326,7361,7320,161,True
Ultra_74,Ultra,7300,7361,7393,7400,93,False
Ultra_75,Ultra,7400,7400,7432,7500,32,False
PIR_38,PIR,7400,7432,7457,7480,57,False
Ultra_76,Ultra,7500,7500,7532,7600,32,False
Sound_16,Sound,7500,7532,7712,8000,212,False
Button_26,Button,7500,7712,7747,7620,247,True
Ultra_77,Ultra,7600,7747,7779,7700,179,True
PIR_39,PIR,7600,7779,7804,7680,204,True
Ultra_78,Ultra,7700,7804,7836,7800,136,True
Ultra_79,Ultra,7800,7836,7868,7900,68,False
